UPC	RECEIPT ALIAS	ITEM NAME	BRAND	SIZE	COST	SUID	VENDOR	UOM	PACK
040951375659	ST SUPRY MAXWL CRK SAUV BLANC 13	ST SUPERY MAXWELL CREEK SAUVIGNON BLANC 2013- CPWM EXCLUSI	ST. SUPERY	750 ML	10.5	103640	PINNACLE IMPORTS	CS	12	
40951675117	BONGIOVANNI DOLCETTO DALBA 11	BONGIOVANNI DOLCETTO DALBA DOC 2011	EMPSON USA INC	750 ML	15.75	116540	PINNACLE IMPORTS	CS	12	
040951675117	ST SUPERY ROSE 2016	ST SUPERY ROSE 2016	ST. SUPERY	750 ML	15	103601	PINNACLE IMPORTS	CS	12	
045243000103	SPRECHER SPECIAL AMBER 616OZ	SPRECHER SPECIAL AMBER 6/4PK16OZ	SPRECHER BREWERY	16 OZ		117500	PINNACLE IMPORTS	CS	24	
45243000126	SPRECHER SODA ROOT BEER 12 KEG	SPRECHER SODA ROOT BEER 1/2 BBL KEG NON-ALCOHOLIC	SPRECHER BREWERY	1/2 BB L	115	124140	PINNACLE IMPORTS	EA	1	
45243000126	HALL NAPA MERLOT 2011	HALL NAPA MERLOT 2011	HALL	3 L	118.5	101663	PINNACLE IMPORTS	EA	1	
45243000161	SPRECHER SODA ROOT BEER 79 GAL	SPRECHER SODA ROOT BEER 7.9 GAL KEG (NON-ALCOHOLIC)	SPRECHER BREWERY	7.9GA L	53	300210	PINNACLE IMPORTS	EA	1	
045243000400	SPRECHER SODA ROOT BEER 6	SPRECHER SODA ROOT BEER 6/4PK	SPRECHER BREWERY	16 OZ	1.2	300110	PINNACLE IMPORTS	CS	24	
45243000400	RCH ALE MARY 12X500ML	RCH ALE MARY 12X500ML	B. UNITED	16.9 OZ		123600	PINNACLE IMPORTS	CS	12	
045243000417	SPRECHER SODA GINGER ALE 16OZ	SPRECHER SODA GINGER ALE 6/4PK/16OZ	SPRECHER BREWERY	16 OZ	1.2	300040	PINNACLE IMPORTS	CS	24	
045243000455	SPRECHER SODA ORANGE DREAM 16OZ	SPRECHER SODA ORANGE DREAM 6/4PK/16	SPRECHER BREWERY	16 OZ	1.2	300070	PINNACLE IMPORTS	CS	24	
045243001438	SPRECHER SODA PUMA KOLA 616	SPRECHER SODA PUMA KOLA 6/4PK/16	SPRECHER BREWERY	16 OZ	1.2	300080	PINNACLE IMPORTS	CS	24	
045243001445	SPRECHER SODA LOWCAL ROOT BEER	SPRECHER SODA LOW-CAL ROOT BEER 6/4PK/16	SPRECHER BREWERY	16 OZ	1.2	300060	PINNACLE IMPORTS	CS	24	
045243001476	SPRECHER SODA GRAPE SODA 16OZ	SPRECHER SODA GRAPE SODA 6/4PK/16OZ	SPRECHER BREWERY	16 OZ	1.2	300050	PINNACLE IMPORTS	CS	24	
45243100001	CORBILLIERES TOURAINE PN ROSE 15	RKS- DOM DES CORBILLIERES TOURAINE PN ROSE 2015	DOMAINE SELECT WINE ESTATE	750 ML	13.5	126793	PINNACLE IMPORTS	CS	12	
045243590000	SPRECHER SODA GINGER ALE KEG	SPRECHER SODA GINGER ALE (7.9 GAL) KEG (NON-ALCOHOLIC)	SPRECHER BREWERY	1/4 BB L	53	300190	PINNACLE IMPORTS	EA	1	
45243590000	REISSDORF KOLSCH 20 X 169OZ	REISSDORF KOLSCH 20 X 16.9OZ	B. UNITED	16.9 OZ		303030	PINNACLE IMPORTS	CS	20	
045243590000	REISSDORF KOLSCH 50L KEG	REISSDORF KOLSCH 50L KEG	B. UNITED	50 L		118010	PINNACLE IMPORTS	EA	1	
